track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3GKFo6nRa2xnPXlZlKWPQo,0.642,0.706,6,-9.149,0,0.052,0.448,0.00065,0.135,0.524,123.983,audio_features,3GKFo6nRa2xnPXlZlKWPQo,spotify:track:3GKFo6nRa2xnPXlZlKWPQo,https://api.spotify.com/v1/tracks/3GKFo6nRa2xnPXlZlKWPQo,https://api.spotify.com/v1/audio-analysis/3GKFo6nRa2xnPXlZlKWPQo,186315,4
6ie2Bw3xLj2JcGowOlcMhb,0.594,0.721,2,-7.812,1,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,audio_features,6ie2Bw3xLj2JcGowOlcMhb,spotify:track:6ie2Bw3xLj2JcGowOlcMhb,https://api.spotify.com/v1/tracks/6ie2Bw3xLj2JcGowOlcMhb,https://api.spotify.com/v1/audio-analysis/6ie2Bw3xLj2JcGowOlcMhb,234653,4
2FejHWlKvqILxymiFEL6n5,0.818,0.435,3,-10.209,1,0.16,0.348,0.0,0.0893,0.604,137.919,audio_features,2FejHWlKvqILxymiFEL6n5,spotify:track:2FejHWlKvqILxymiFEL6n5,https://api.spotify.com/v1/tracks/2FejHWlKvqILxymiFEL6n5,https://api.spotify.com/v1/audio-analysis/2FejHWlKvqILxymiFEL6n5,201107,4
0rheE0QDxFPMAunStuVkQo,0.574,0.728,0,-3.324,1,0.0311,0.536,0.0,0.176,0.839,167.988,audio_features,0rheE0QDxFPMAunStuVkQo,spotify:track:0rheE0QDxFPMAunStuVkQo,https://api.spotify.com/v1/tracks/0rheE0QDxFPMAunStuVkQo,https://api.spotify.com/v1/audio-analysis/0rheE0QDxFPMAunStuVkQo,186539,4
64dZzOERFpgQBIqBkOpvQr,0.804,0.214,2,-11.347,1,0.0484,0.964,0.0,0.124,0.294,123.968,audio_features,64dZzOERFpgQBIqBkOpvQr,spotify:track:64dZzOERFpgQBIqBkOpvQr,https://api.spotify.com/v1/tracks/64dZzOERFpgQBIqBkOpvQr,https://api.spotify.com/v1/audio-analysis/64dZzOERFpgQBIqBkOpvQr,200225,4
4E7gBwAIuKqyd16eHwY1gF,0.474,0.31,5,-12.151,1,0.0358,0.57,5.45e-05,0.324,0.241,125.925,audio_features,4E7gBwAIuKqyd16eHwY1gF,spotify:track:4E7gBwAIuKqyd16eHwY1gF,https://api.spotify.com/v1/tracks/4E7gBwAIuKqyd16eHwY1gF,https://api.spotify.com/v1/audio-analysis/4E7gBwAIuKqyd16eHwY1gF,216613,4
1UOgQpv8Ofd3OtlmpCjmTM,0.632,0.332,2,-9.1,1,0.0483,0.83,1.99e-06,0.226,0.348,70.426,audio_features,1UOgQpv8Ofd3OtlmpCjmTM,spotify:track:1UOgQpv8Ofd3OtlmpCjmTM,https://api.spotify.com/v1/tracks/1UOgQpv8Ofd3OtlmpCjmTM,https://api.spotify.com/v1/audio-analysis/1UOgQpv8Ofd3OtlmpCjmTM,191307,4
45h4w81P5iJJTSeR0jJUQ8,0.479,0.154,2,-15.051,1,0.0369,0.755,0.0261,0.11,0.232,92.457,audio_features,45h4w81P5iJJTSeR0jJUQ8,spotify:track:45h4w81P5iJJTSeR0jJUQ8,https://api.spotify.com/v1/tracks/45h4w81P5iJJTSeR0jJUQ8,https://api.spotify.com/v1/audio-analysis/45h4w81P5iJJTSeR0jJUQ8,213612,4
1XFxLlYuWdebo6hgczaVDu,0.741,0.484,7,-7.698,1,0.0413,0.0443,0.00544,0.499,0.308,125.925,audio_features,1XFxLlYuWdebo6hgczaVDu,spotify:track:1XFxLlYuWdebo6hgczaVDu,https://api.spotify.com/v1/tracks/1XFxLlYuWdebo6hgczaVDu,https://api.spotify.com/v1/audio-analysis/1XFxLlYuWdebo6hgczaVDu,215695,4
2gKFOjYqtJpSsIXdRxZQfH,0.8,0.129,8,-14.569,1,0.0486,0.959,0.0653,0.103,0.261,123.915,audio_features,2gKFOjYqtJpSsIXdRxZQfH,spotify:track:2gKFOjYqtJpSsIXdRxZQfH,https://api.spotify.com/v1/tracks/2gKFOjYqtJpSsIXdRxZQfH,https://api.spotify.com/v1/audio-analysis/2gKFOjYqtJpSsIXdRxZQfH,169724,4
